# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Fri Apr  3 08:39:43 2026
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au]
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN st_mass:        Stellar Mass [Solar mass]
#
loc_rowid,pl_name,pl_orbsmax,pl_radj,st_mass
1,11 Com b,1.1780000000,,2.090000
2,11 Com b,1.2900000000,,2.700000
3,11 Com b,1.2100000000,,2.600000
4,11 UMi b,1.5100000000,,1.700000
5,11 UMi b,1.5300000000,,2.780000
6,11 UMi b,1.5400000000,,1.800000
7,14 And b,0.7750000000,,1.780000
8,14 And b,0.8300000000,,2.200000
9,14 And b,0.6800000000,,1.200000
10,14 Her b,2.7740000000,,0.910000
11,14 Her b,2.9300000000,,0.900000
12,14 Her b,2.8640000000,,0.910000
13,14 Her b,2.8300000000,,0.969205
14,14 Her b,2.7300000000,,0.900000
15,14 Her b,2.8200000000,,1.000000
16,14 Her b,2.7700000000,,
17,14 Her b,2.8000000000,,0.900000
18,14 Her b,2.8390000000,,0.970000
19,16 Cyg B b,1.6800000000,,1.030000
20,16 Cyg B b,1.6000000000,,1.000000
21,16 Cyg B b,1.6600000000,,1.080000
22,16 Cyg B b,1.6810000000,,0.990000
23,16 Cyg B b,1.6760000000,,0.982996
24,16 Cyg B b,1.6800000000,,
25,17 Sco b,1.4500000000,,1.220000
26,18 Del b,2.4760000000,,2.100000
27,18 Del b,2.5400000000,,2.100000
28,18 Del b,2.6000000000,,2.300000
29,1RXS J160929.1-210524 b,330.0000000000,,0.850000
30,1RXS J160929.1-210524 b,330.0000000000,,0.623000
31,1RXS J160929.1-210524 b,330.0000000000,,0.850000
32,1RXS J160929.1-210524 b,330.0000000000,1.66400000,0.850000
33,24 Boo b,0.1940000000,,1.050000
34,24 Boo b,0.1900000000,,0.990000
35,24 Sex b,1.3330000000,,1.540000
36,24 Sex c,2.0800000000,,1.540000
37,2M0437 b,118.0000000000,,0.170000
38,2MASS J01033563-5515561 AB b,84.0000000000,,0.190000
39,2MASS J01225093-2439505 b,,1.00000000,0.353185
40,2MASS J01225093-2439505 b,52.0000000000,,0.400000
41,2MASS J02192210-3925225 b,156.0000000000,1.44000000,0.108000
42,2MASS J0249-0557 c,1950.0000000000,,0.046000
43,2MASS J03590986+2009361 b,572.0000000000,,
44,2MASS J04414489+2301513 b,15.0000000000,,0.019000
45,2MASS J11011926-7732383 b,266.0000000000,,
46,2MASS J11550485-7919108 b,587.0000000000,,
47,2MASS J12073346-3932539 b,,1.40000000,
48,2MASS J12073346-3932539 b,46.0000000000,,0.188001
49,2MASS J12073346-3932539 b,55.0000000000,,0.024000
50,2MASS J19383260+4603591 b,0.9200000000,,0.480000
51,2MASS J19383260+4603591 b,,,0.480000
52,2MASS J21252752-8138278 b,7493.0000000000,,
53,2MASS J22362452+4751425 b,230.0000000000,,0.600000
54,2MASS J22501512+2325342 b,518.0000000000,,
55,4 UMa b,0.8770000000,,1.234000
56,4 UMa b,0.8700000000,,1.234000
57,47 UMa b,2.1000000000,,1.063000
58,47 UMa b,2.1040000000,,
59,47 UMa b,2.1100000000,,
60,47 UMa b,2.1000000000,,1.060000
61,47 UMa b,2.0590000000,,1.005192
62,47 UMa b,2.1100000000,,
63,47 UMa c,3.6000000000,,1.060000
64,47 UMa c,7.7300000000,,
65,47 UMa c,3.4530000000,,
66,47 UMa c,3.4040000000,,1.005192
67,47 UMa d,11.6000000000,,1.060000
68,47 UMa d,13.8000000000,,1.005192
69,51 Eri b,10.4000000000,,1.750000
70,51 Eri b,12.0000000000,,1.650000
